attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class
31,100,37,27,40,100,49,34,45,100,100,38,49,100,100,39,100,61,70,34,a11
31,100,100,29,40,100,100,39,45,100,100,44,49,100,100,47,100,62,68,100,a11
31,100,100,30,41,100,100,39,46,100,100,44,50,100,100,48,100,65,73,100,a11
32,100,37,26,43,100,48,33,47,100,100,37,75,100,100,38,100,63,100,30,a11
32,100,38,27,43,100,49,34,48,100,100,38,100,100,100,39,100,66,100,32,a11
31,100,100,30,42,100,100,40,47,100,100,44,68,100,100,48,100,64,86,100,a11
32,100,100,30,43,100,100,40,47,100,100,44,90,100,100,48,100,68,100,100,a11
30,100,47,29,39,100,100,38,44,100,100,43,48,100,100,46,100,60,63,90,a11
31,100,53,29,40,100,100,38,45,100,100,43,49,100,100,45,100,63,67,75,a11
31,100,35,26,41,100,47,32,46,100,68,35,50,100,100,35,100,61,100,27,a11
31,100,37,26,42,100,48,33,46,100,100,37,50,100,100,37,100,64,100,29,a11
29,36,35,28,37,52,50,36,43,100,100,42,49,83,86,47,100,61,88,90,a11
29,36,34,28,37,90,51,36,44,100,100,42,50,86,100,47,100,64,100,100,a11
30,100,36,27,39,100,48,34,44,100,100,38,48,76,100,39,100,60,66,34,a11
31,100,100,30,41,100,100,39,45,100,100,44,49,100,100,47,100,64,70,100,a11
31,38,100,24,38,51,100,33,48,100,100,34,100,81,49,31,62,63,36,25,a11
30,38,100,24,38,52,100,33,49,100,100,34,100,83,50,31,64,64,37,25,a11
29,36,36,28,37,51,51,36,43,100,100,42,48,88,90,47,65,77,96,63,a11
28,36,34,28,37,75,51,36,43,100,100,42,49,91,100,47,100,74,100,100,a11
30,52,42,29,39,100,100,38,45,100,100,43,49,76,76,47,100,59,60,100,a11
31,68,46,29,40,100,100,38,45,100,100,43,50,79,80,48,100,62,64,100,a11
29,38,35,28,38,68,51,36,44,100,100,41,50,89,91,46,100,75,100,90,a11
27,31,31,26,37,100,68,36,44,100,100,42,51,89,100,49,65,53,65,65,a11
29,43,38,29,38,100,90,36,44,100,100,42,49,74,75,46,100,58,59,100,a11
27,46,31,26,39,100,100,37,46,100,100,43,90,100,100,49,100,53,53,100,a11
34,100,28,21,45,100,36,26,48,100,40,28,65,100,40,26,100,69,33,20,a11
34,100,28,21,45,100,36,26,48,100,40,28,65,100,41,26,100,75,34,21,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
30,44,40,29,38,100,100,36,43,100,100,41,47,75,76,45,100,59,59,68,a11
31,100,68,29,41,100,100,39,46,100,100,44,55,100,100,48,100,61,63,100,a11
30,100,28,22,43,100,37,26,48,100,41,28,51,100,42,27,100,93,38,21,a11
30,100,28,22,43,100,38,27,48,100,42,29,51,100,44,27,100,100,42,21,a11
29,37,36,28,37,54,50,36,43,100,100,42,48,82,84,47,100,63,72,61,a11
28,36,34,27,37,100,49,35,43,100,100,41,49,86,93,46,100,61,100,100,a11
29,42,35,26,37,100,48,33,43,100,100,38,46,74,76,39,100,58,60,34,a11
29,45,36,27,38,100,53,34,43,100,100,38,46,75,77,40,100,58,59,34,a11
30,100,29,23,40,100,39,28,46,100,44,30,49,77,48,29,100,59,100,21,a11
30,100,30,23,41,100,41,29,46,100,46,31,49,79,53,30,100,61,100,23,a11
34,100,38,28,47,100,68,36,50,100,100,41,54,91,94,46,100,100,100,100,a11
35,100,39,28,48,100,100,36,51,100,100,42,55,93,100,47,100,100,100,100,a11
38,100,32,24,49,100,43,30,51,100,48,33,54,94,53,32,100,77,100,24,a11
40,100,32,25,49,100,44,30,51,100,50,34,54,96,66,33,100,82,100,25,a11
35,100,32,24,46,100,43,29,49,100,47,32,68,100,49,31,100,74,100,23,a11
34,100,31,23,46,100,43,29,49,100,46,31,100,100,48,30,100,79,65,23,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
30,48,40,29,39,100,100,37,44,100,100,42,48,75,76,46,100,59,59,100,a11
31,90,44,29,40,100,100,38,46,100,100,43,50,100,100,47,100,61,62,100,a11
28,35,34,28,37,54,50,36,43,100,100,41,49,84,86,47,100,61,84,100,a11
29,36,34,28,38,100,51,36,44,100,100,42,51,86,89,48,100,62,100,100,a11
38,100,33,24,49,100,45,30,68,100,48,33,100,100,65,32,100,78,100,24,a11
42,100,36,24,50,100,46,31,100,100,49,34,100,100,100,33,100,82,100,25,a11
29,68,36,28,39,75,51,36,46,100,100,42,52,86,93,47,100,64,100,100,a11
29,90,36,28,41,100,54,36,48,100,100,42,53,89,100,47,100,70,100,100,a11
29,34,41,58,34,42,100,53,40,56,100,62,52,94,91,54,57,59,100,37,a11
29,34,40,65,35,43,100,53,40,61,100,68,54,96,93,53,58,60,100,31,a11
29,39,38,28,37,100,50,36,42,100,100,41,47,74,76,44,100,58,60,68,a11
30,44,41,29,38,100,100,38,44,100,100,43,48,78,100,46,100,62,69,100,a11
29,36,35,28,37,51,50,36,43,100,100,42,48,84,87,47,90,63,84,62,a11
28,36,34,27,37,90,50,35,43,100,100,41,49,86,100,46,100,64,100,90,a11
29,39,36,28,38,100,90,36,43,100,100,41,48,81,82,45,100,62,66,64,a11
30,43,38,29,39,100,100,37,45,100,100,43,52,81,100,48,100,59,100,100,a11
29,40,45,28,37,100,100,36,43,100,100,40,51,100,100,42,44,58,53,21,a11
29,42,48,28,38,100,100,36,44,100,100,41,56,100,100,43,47,61,55,24,a11
29,100,31,24,40,100,43,30,44,100,48,33,48,81,100,33,100,62,100,25,a11
