attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class
28,34,61,19,3,4,0,61,61,18,22,39,37,61,50,29,96,88,71,87,a11
25,44,58,22,15,20,6,58,58,38,29,49,39,58,50,30,101,103,89,95,a11
27,44,58,25,18,20,8,58,58,39,30,51,39,58,51,31,101,104,93,96,a11
31,47,61,31,3,4,0,61,61,19,19,42,38,61,51,32,99,94,79,97,a11
31,47,61,31,6,5,0,61,61,23,23,44,38,61,51,32,99,95,80,98,a11
35,45,61,27,8,4,0,61,61,14,17,37,37,61,51,36,100,89,82,94,a11
35,44,61,28,7,4,0,61,61,13,15,34,38,61,51,36,99,87,81,95,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
13,10,55,1,9,15,1,58,58,40,31,48,39,56,48,28,97,98,96,92,a11
17,12,58,2,10,17,1,58,58,40,33,48,40,58,48,31,99,99,97,97,a11
36,46,61,30,14,8,1,61,61,19,20,39,43,61,51,38,101,90,84,98,a11
37,48,61,31,16,11,3,61,61,19,22,39,43,61,51,38,102,91,84,98,a11
13,25,52,6,12,18,2,58,56,39,29,46,37,54,48,26,99,99,90,90,a11
22,28,55,10,14,18,3,58,58,40,31,50,40,56,50,31,100,101,97,97,a11
4,3,53,0,49,31,36,56,61,34,28,43,41,61,43,32,105,80,98,106,a11
5,3,61,0,49,31,38,56,61,34,28,43,43,61,49,33,105,80,98,106,a11
17,10,55,1,12,18,1,58,58,38,27,51,38,56,51,25,100,99,76,79,a11
22,19,58,6,20,23,10,58,58,40,31,51,40,56,51,28,103,103,82,89,a11
12,9,55,1,9,13,1,58,58,41,30,50,39,56,50,28,96,97,96,89,a11
17,10,58,1,10,15,1,58,58,39,28,48,39,58,48,26,98,98,90,90,a11
19,12,56,3,12,21,2,58,56,39,31,51,39,56,51,30,98,100,89,91,a11
24,18,56,13,18,24,12,58,58,40,33,50,40,56,50,31,102,102,98,98,a11
23,14,58,6,24,23,14,56,61,31,21,42,35,58,43,31,100,95,83,88,a11
24,17,58,8,28,25,14,58,61,33,25,43,35,61,44,34,100,97,85,90,a11
27,31,61,18,4,5,0,61,61,23,23,44,37,61,50,30,97,90,76,88,a11
27,34,61,19,6,5,0,61,61,26,23,45,37,61,50,31,99,94,79,89,a11
22,17,56,6,17,22,6,56,56,38,27,51,38,56,51,27,100,100,78,78,a11
23,21,58,11,20,23,10,58,58,38,28,51,38,56,51,28,102,102,80,81,a11
23,24,56,13,16,22,6,58,56,38,28,51,39,56,51,29,102,102,79,83,a11
24,24,58,14,20,23,10,58,58,39,29,51,39,56,51,30,103,103,86,87,a11
15,9,55,1,9,13,1,58,58,39,28,48,39,56,48,26,96,97,90,90,a11
17,16,56,3,17,19,5,61,61,38,29,51,38,56,51,28,101,101,85,84,a11
5,7,58,0,22,22,11,58,56,39,30,50,39,58,42,23,102,98,89,101,a11
5,9,58,0,28,23,12,58,58,40,31,50,39,58,42,24,104,100,89,101,a11
23,21,56,13,16,22,6,58,58,38,28,51,39,56,51,29,101,100,79,83,a11
24,28,58,15,20,23,10,58,58,39,31,51,39,58,51,30,103,103,85,89,a11
22,17,58,7,17,22,7,58,56,38,28,51,38,56,51,28,101,101,79,79,a11
27,28,58,16,31,27,18,58,58,39,32,50,39,58,50,32,102,102,91,93,a11
18,10,58,1,12,18,2,58,56,40,25,51,39,56,51,26,101,100,86,82,a11
24,24,58,13,28,24,15,58,58,41,31,51,39,58,51,31,103,104,93,87,a11
27,31,56,18,28,26,15,58,58,39,32,51,40,56,51,31,102,102,83,89,a11
27,25,58,15,25,27,15,61,61,40,31,48,39,58,48,30,100,101,93,92,a11
15,10,53,1,11,17,1,58,58,40,30,50,40,54,50,29,101,99,90,96,a11
17,10,55,1,11,18,1,58,58,40,33,48,40,56,48,28,98,97,95,96,a11
17,10,55,1,11,18,1,58,58,40,33,48,40,56,48,28,98,97,95,96,a11
17,10,55,1,11,18,1,58,58,40,33,48,40,56,48,28,98,97,95,96,a11
17,12,49,2,35,28,24,55,61,38,27,42,34,41,42,27,98,88,97,95,a11
17,12,49,1,33,28,22,61,61,37,27,41,34,43,42,29,98,87,96,95,a11
23,21,58,11,21,23,11,58,58,39,29,51,39,56,51,28,103,103,82,83,a11
23,24,58,13,24,24,13,58,58,39,31,51,39,58,51,30,102,102,87,87,a11
18,14,56,3,14,19,4,58,58,39,30,51,39,56,51,29,102,102,89,91,a11
23,20,56,10,20,23,10,58,58,41,34,51,41,56,51,33,102,102,100,100,a11
23,20,56,10,20,23,10,58,58,41,34,51,41,56,51,33,102,102,100,100,a11
23,20,56,10,20,23,10,58,58,41,34,51,41,56,51,33,102,102,100,100,a11
18,14,56,3,14,19,4,58,58,39,30,51,39,56,51,29,102,102,89,91,a11
22,17,58,6,16,20,6,58,58,39,31,51,39,56,51,31,102,102,93,93,a11
5,6,57,0,46,31,30,56,56,39,30,50,37,58,49,36,104,90,97,97,a11
5,8,58,0,48,34,31,56,56,39,31,50,38,58,50,38,106,92,98,101,a11
23,20,58,10,20,23,10,58,58,38,29,51,39,56,51,28,103,102,80,83,a11
26,28,56,15,28,26,15,58,58,41,32,51,41,56,51,30,104,104,90,94,a11
23,21,58,11,17,23,9,58,56,39,29,51,38,56,51,29,101,103,83,81,a11
24,24,58,15,24,24,13,58,58,41,31,51,41,58,51,32,104,104,93,93,a11
26,28,56,15,28,26,15,58,58,41,32,51,41,56,51,30,104,104,90,94,a11
26,28,56,15,28,26,15,58,58,41,32,51,41,56,51,30,104,104,90,94,a11
23,20,58,10,20,23,10,58,58,38,29,51,39,56,51,28,103,102,80,83,a11
23,20,58,10,24,24,14,58,58,39,30,51,39,58,51,29,103,103,86,85,a11
23,24,56,14,12,15,2,58,58,33,27,49,37,56,51,27,100,98,76,87,a11
23,28,58,14,24,20,11,58,58,33,29,48,37,56,51,29,101,97,82,87,a11
5,6,57,0,42,32,25,56,56,34,33,49,37,58,51,23,103,95,89,78,a11
5,7,57,0,40,30,24,58,56,33,33,48,38,58,51,25,103,91,90,80,a11
23,24,56,14,12,15,2,58,58,33,27,49,37,56,51,27,100,98,76,87,a11
26,28,58,14,14,15,2,58,58,33,28,48,38,56,51,30,100,96,79,87,a11
23,20,58,10,20,23,10,58,58,38,29,51,39,56,51,28,103,102,80,83,a11
23,21,58,11,21,23,11,58,58,38,30,51,39,58,51,29,101,100,81,85,a11
18,22,58,6,10,17,1,58,58,36,25,49,36,56,49,28,98,99,77,82,a11
21,22,58,7,12,18,2,58,58,38,27,49,37,58,50,28,99,100,84,87,a11
22,17,58,6,17,22,6,58,56,37,28,51,37,56,51,28,100,100,79,79,a11
26,28,58,15,28,26,15,58,58,40,32,51,40,58,51,32,103,103,87,91,a11
23,24,58,13,17,22,6,58,58,38,28,51,39,56,51,29,102,102,79,83,a11
24,24,58,14,20,23,10,58,58,39,29,51,39,58,51,30,103,103,85,87,a11
22,20,58,8,21,23,11,58,56,38,28,51,37,56,51,28,99,100,80,80,a11
27,28,58,16,28,27,16,58,58,41,32,51,41,58,51,32,103,103,94,96,a11
13,9,55,1,9,13,1,58,58,41,30,50,40,56,50,30,97,97,96,96,a11
17,11,58,1,11,15,1,58,58,40,31,48,40,58,48,31,100,100,96,96,a11
20,16,58,6,17,22,6,58,56,38,27,51,37,56,51,27,99,100,79,78,a11
23,21,58,11,21,23,11,58,58,38,29,51,38,58,51,29,100,100,82,82,a11
23,20,58,10,17,23,9,58,56,39,29,51,38,56,51,29,100,101,83,80,a11
23,24,58,13,21,23,11,58,58,39,30,51,39,58,51,30,103,103,85,85,a11
10,8,54,1,17,18,3,58,58,40,30,50,40,56,50,30,102,100,94,94,a11
11,8,58,1,17,20,7,58,58,40,31,50,40,58,50,31,102,100,97,97,a11
22,17,58,7,17,22,7,58,58,37,28,51,37,56,51,28,99,99,80,80,a11
26,28,58,16,28,27,16,58,58,40,33,51,40,58,51,33,102,102,91,91,a11
22,17,56,6,16,22,6,56,56,38,25,51,37,56,49,25,100,101,78,78,a11
23,21,58,11,17,22,7,58,56,38,28,51,38,56,51,28,101,102,78,80,a11
25,28,61,13,0,0,0,61,61,17,10,41,38,61,51,29,94,85,70,86,a11
25,32,61,17,2,3,0,61,61,20,18,44,38,61,51,30,96,91,76,87,a11
25,28,61,13,0,0,0,61,61,17,10,41,38,61,51,29,94,85,70,86,a11
25,32,61,17,2,3,0,61,61,20,18,44,38,61,51,30,96,91,76,87,a11
25,28,61,13,0,0,0,61,61,17,10,41,38,61,51,29,94,85,70,86,a11
25,32,61,17,2,3,0,61,61,20,18,44,38,61,51,30,96,91,76,87,a11
25,28,61,13,0,0,0,61,61,17,10,41,38,61,51,29,94,85,70,86,a11
25,32,61,17,2,3,0,61,61,20,18,44,38,61,51,30,96,91,76,87,a11
23,21,56,13,16,22,6,58,58,38,28,51,39,56,51,29,101,100,79,83,a11
26,28,58,15,20,23,10,58,58,39,30,51,41,56,51,31,104,103,88,93,a11
25,44,56,25,14,18,3,55,56,40,31,48,40,56,48,33,100,105,94,97,a11
27,44,58,27,17,22,7,58,56,40,33,50,40,56,50,33,101,105,98,98,a11
32,28,61,16,3,2,0,61,61,0,3,3,44,61,48,30,101,74,68,93,a11
32,30,61,18,4,3,0,61,61,0,4,4,46,61,50,32,101,75,72,95,a11
0,19,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,a11
0,22,5,5,0,0,0,0,8,0,0,1,0,2,1,1,22,8,14,32,a11
