,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,attr_13,attr_14,attr_15,attr_16,attr_17,attr_18,attr_19,attr_20,class_a11,class_a12,class_a13,class_a14,class_a15,class_a16,class_a17,class_a18,class_a19,class_a20,class_a21,class_a22,class_a23,class_a24,class_a25,class_a26,class_a27,class_a28,class_a29,class_a30,class_a31,class_a32,class_a33,class_a34,class_a35,class_a36
75,29,68,39,28,39,100,100,37,45,100,100,42,50,100,100,46,100,58,59,100,29,68,39,28,39,100,100,37,45,100,100,42,50,100,100,46,100,58,59,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,29,44,39,28,38,100,100,36,43,100,100,41,46,100,100,44,100,59,60,53,29,44,39,28,38,100,100,36,43,100,100,41,46,100,100,44,100,59,60,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,30,100,53,29,39,100,100,38,45,100,100,43,49,100,100,47,100,60,61,100,30,100,53,29,39,100,100,38,45,100,100,43,49,100,100,47,100,60,61,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,29,37,42,29,36,51,53,37,42,100,100,42,47,86,89,46,61,71,86,58,29,37,42,29,36,51,53,37,42,100,100,42,47,86,89,46,61,71,86,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,29,38,47,30,37,58,55,38,43,100,100,44,49,86,88,48,100,69,86,64,29,38,47,30,37,58,55,38,43,100,100,44,49,86,88,48,100,69,86,64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,29,36,34,28,38,90,50,36,44,100,100,41,50,84,87,47,100,61,98,100,29,36,34,28,38,90,50,36,44,100,100,41,50,84,87,47,100,61,98,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,28,34,33,27,37,75,50,35,44,100,100,41,50,86,100,47,100,58,100,100,28,34,33,27,37,75,50,35,44,100,100,41,50,86,100,47,100,58,100,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,29,39,44,29,37,55,100,37,42,100,100,43,47,88,89,46,60,77,88,58,29,39,44,29,37,55,100,37,42,100,100,43,47,88,89,46,60,77,88,58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,30,45,75,30,39,100,100,39,45,100,100,45,50,88,100,49,100,70,98,90,30,45,75,30,39,100,100,39,45,100,100,45,50,88,100,49,100,70,98,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,29,39,42,28,37,68,100,37,42,100,100,42,47,88,89,45,60,75,87,54,29,39,42,28,37,68,100,37,42,100,100,42,47,88,89,45,60,75,87,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
